Date,BETA0,BETA1,BETA2,BETA3,TAU1,TAU2
29-08-1990,0.05124635,7.91600124,14.75066224,-0.86690107,24.40572027,0.29448372
30-08-1990,0.00854906,7.8107297,15.44402163,-0.49484789,21.53987811,0.40790239
31-08-1990,0.00007201,7.78017701,15.65245108,-0.51705155,21.42642981,0.40386903
04-09-1990,0.00002105,7.68714212,16.14189003,-0.29964525,20.04539577,0.40828343
05-09-1990,0.00002589,7.63469095,16.08421448,-0.21218281,20.04462074,0.55901228
06-09-1990,0.00002864,7.61999381,16.02849899,-0.21344515,19.61462574,0.39805495
07-09-1990,0.00016079,7.58644071,15.97756643,-0.16219715,19.68699014,0.23461557
10-09-1990,0.03681892,7.62131965,15.89387247,-0.19962129,20.15899232,0.31786305
11-09-1990,0.02969463,7.59997562,15.90995836,-0.15202909,20.27510266,0.1
12-09-1990,0.0514652,7.59651095,15.86305035,-0.25814472,20.30838118,0.64413302
13-09-1990,0.13186514,7.49739158,15.86654278,-0.3577486,19.8522601,0.72394527
14-09-1990,0.15918638,7.49213034,15.97450006,-0.38569366,20.1473623,0.53323634
17-09-1990,0.1764849,7.4261855,16.34032595,-0.25701436,19.47172145,0.89354601
18-09-1990,0.19546944,7.47562297,16.13066351,-0.43882707,19.70815103,0.99789516
19-09-1990,0.16494925,7.46310141,16.06195092,-0.19645479,19.20884263,1.15523552
20-09-1990,0.17157389,7.43350275,16.24805144,-0.09666525,19.03108378,1.76680576
21-09-1990,0.1464655,7.40261057,16.37179912,0.31192444,19.25625807,6.13753491
24-09-1990,0.18492146,7.40036891,16.59342592,0.25624018,19.39715567,2.18766974
25-09-1990,0.25454011,7.30724792,16.55270635,0.26733859,18.63909536,1.01568371
26-09-1990,0.23744004,7.38457557,15.62595704,0.70297746,21.51076834,4.96770341
27-09-1990,0.20163059,7.36408852,15.67490701,0.51263388,19.07058315,16.04670861
28-09-1990,0.20289166,7.27870501,15.35819343,0.59067923,20.43686298,6.09766314
01-10-1990,0.17661157,7.24434576,15.16457675,0.57283339,21.10670469,4.48096701
02-10-1990,0.16631468,7.24433642,15.09791296,0.60351677,21.29127408,5.76863652
03-10-1990,0.1637016,7.23584863,15.30607903,0.54303872,19.43386087,13.54017192
04-10-1990,0,7.40531034,15.42857582,0.53788886,20.03600557,20.01494762
05-10-1990,0,7.36015139,15.43822567,0.54758465,19.84123492,19.90647459
09-10-1990,0,7.44890809,15.73789902,0.84096392,19.47959958,19.53191916
10-10-1990,0,7.46560469,15.8327678,0.93561489,18.94294549,18.96933755
11-10-1990,0.42703759,6.98678673,15.45441241,1.48977074,17.22147363,30
12-10-1990,0.42480056,6.96803291,15.24871566,1.26871929,17.55420202,29.9999999
15-10-1990,0.42636512,6.98104851,15.12156141,1.15108566,18.20459152,29.99999986
16-10-1990,0,7.41588152,15.38939168,1.11046493,19.30398157,19.21444465
17-10-1990,0,7.430262,15.26829824,0.98923204,19.57441132,19.51136966
18-10-1990,0,7.42979338,15.15951258,0.87989465,20.43669663,20.22153027
19-10-1990,0.00000801,7.40422053,14.98715903,0.70747701,20.93966252,20.82213227
22-10-1990,0,7.41166617,14.98196282,0.70211528,21.19841383,21.17693872
23-10-1990,0,7.39457858,15.07132151,0.79144215,21.2512318,20.94869486
24-10-1990,0,7.3853095,15.10820041,0.82832266,21.06876161,20.78064167
25-10-1990,0,7.35030229,15.05840048,0.77799976,21.3300862,21.17516799
26-10-1990,0,7.31309436,15.16234853,0.88147672,20.22722596,20.38745741
29-10-1990,0,7.29554748,15.35276443,1.07479241,19.55508522,19.50324973
30-10-1990,0,7.3089324,15.33269765,1.05431364,19.51829346,19.48946308
31-10-1990,0,7.26906288,15.28770831,1.00928121,19.54827907,19.58462489
01-11-1990,0.00004825,7.1858548,15.24488942,0.96646645,19.67621549,19.70972585
02-11-1990,0,7.17913492,15.2444224,0.96557298,19.38177606,19.56246765
05-11-1990,0.00000012,7.15768594,15.11386827,0.83492748,19.64827095,19.72541989
06-11-1990,0,7.1612847,15.13485366,0.85537596,19.59236041,19.58659449
07-11-1990,0,7.15044607,15.3146846,1.03613662,18.87304165,19.05453286
08-11-1990,0,7.14983361,15.36404751,1.08557356,19.23072601,19.25045385
09-11-1990,0,7.13145967,15.16711888,0.88855667,19.81792401,19.80427595
13-11-1990,0,7.12795673,14.91692915,0.63823248,20.6871428,20.68899848
14-11-1990,0,7.13261079,14.87768486,0.59937122,21.07464933,21.16292037
15-11-1990,0,7.12505313,14.94393127,0.66572438,20.84583467,20.88269872
16-11-1990,0,7.108954,14.80621941,0.53049106,21.14755618,21.30941501
19-11-1990,0,7.14509008,14.87788207,0.59723794,21.21140427,21.25728405
20-11-1990,0.00002202,7.14764569,14.75998979,0.47925593,21.1265241,21.27433351
21-11-1990,0,7.1172571,14.74027637,0.45786485,22.37884793,22.23543761
